ID,Name,Team,Score,Matches_Played,Goals,Assists,Yellow_Cards,Red_Cards
5773,Player 4,Team 4,13,4,3,1,1,1
5774,Player 5,Team 5,14,5,4,2,0,0
5775,Player 6,Team 1,15,6,0,0,1,1
5776,Player 7,Team 2,16,7,1,1,0,0
5777,Player 8,Team 3,17,8,2,2,1,1
5778,Player 9,Team 4,18,9,3,0,0,0
5779,Player 10,Team 5,19,10,4,1,1,1
5780,Player 1,Team 1,0,1,0,2,0,0
5781,Player 2,Team 2,1,2,1,0,1,1
5782,Player 3,Team 3,2,3,2,1,0,0
5783,Player 4,Team 4,3,4,3,2,1,1
5784,Player 5,Team 5,4,5,4,0,0,0
5785,Player 6,Team 1,5,6,0,1,1,1
5786,Player 7,Team 2,6,7,1,2,0,0
5787,Player 8,Team 3,7,8,2,0,1,1
5788,Player 9,Team 4,8,9,3,1,0,0
5789,Player 10,Team 5,9,10,4,2,1,1
5790,Player 1,Team 1,10,1,0,0,0,0
5791,Player 2,Team 2,11,2,1,1,1,1
5792,Player 3,Team 3,12,3,2,2,0,0
5793,Player 4,Team 4,13,4,3,0,1,1
5794,Player 5,Team 5,14,5,4,1,0,0
5795,Player 6,Team 1,15,6,0,2,1,1
5796,Player 7,Team 2,16,7,1,0,0,0
5797,Player 8,Team 3,17,8,2,1,1,1
5798,Player 9,Team 4,18,9,3,2,0,0
5799,Player 10,Team 5,19,10,4,0,1,1
5800,Player 1,Team 1,0,1,0,1,0,0
5801,Player 2,Team 2,1,2,1,2,1,1
5802,Player 3,Team 3,2,3,2,0,0,0
5803,Player 4,Team 4,3,4,3,1,1,1
5804,Player 5,Team 5,4,5,4,2,0,0
5805,Player 6,Team 1,5,6,0,0,1,1
5806,Player 7,Team 2,6,7,1,1,0,0
5807,Player 8,Team 3,7,8,2,2,1,1
5808,Player 9,Team 4,8,9,3,0,0,0
5809,Player 10,Team 5,9,10,4,1,1,1
5810,Player 1,Team 1,10,1,0,2,0,0
5811,Player 2,Team 2,11,2,1,0,1,1
5812,Player 3,Team 3,12,3,2,1,0,0
5813,Player 4,Team 4,13,4,3,2,1,1
5814,Player 5,Team 5,14,5,4,0,0,0
5815,Player 6,Team 1,15,6,0,1,1,1
5816,Player 7,Team 2,16,7,1,2,0,0
5817,Player 8,Team 3,17,8,2,0,1,1
5818,Player 9,Team 4,18,9,3,1,0,0
5819,Player 10,Team 5,19,10,4,2,1,1
5820,Player 1,Team 1,0,1,0,0,0,0
5821,Player 2,Team 2,1,2,1,1,1,1
5822,Player 3,Team 3,2,3,2,2,0,0
5823,Player 4,Team 4,3,4,3,0,1,1
5824,Player 5,Team 5,4,5,4,1,0,0
5825,Player 6,Team 1,5,6,0,2,1,1
5826,Player 7,Team 2,6,7,1,0,0,0
5827,Player 8,Team 3,7,8,2,1,1,1
5828,Player 9,Team 4,8,9,3,2,0,0
5829,Player 10,Team 5,9,10,4,0,1,1
5830,Player 1,Team 1,10,1,0,1,0,0
5831,Player 2,Team 2,11,2,1,2,1,1
5832,Player 3,Team 3,12,3,2,0,0,0
5833,Player 4,Team 4,13,4,3,1,1,1
5834,Player 5,Team 5,14,5,4,2,0,0
5835,Player 6,Team 1,15,6,0,0,1,1
5836,Player 7,Team 2,16,7,1,1,0,0
5837,Player 8,Team 3,17,8,2,2,1,1
5838,Player 9,Team 4,18,9,3,0,0,0
5839,Player 10,Team 5,19,10,4,1,1,1
5840,Player 1,Team 1,0,1,0,2,0,0
5841,Player 2,Team 2,1,2,1,0,1,1
5842,Player 3,Team 3,2,3,2,1,0,0
5843,Player 4,Team 4,3,4,3,2,1,1
5844,Player 5,Team 5,4,5,4,0,0,0
5845,Player 6,Team 1,5,6,0,1,1,1
5846,Player 7,Team 2,6,7,1,2,0,0
5847,Player 8,Team 3,7,8,2,0,1,1
5848,Player 9,Team 4,8,9,3,1,0,0
5849,Player 10,Team 5,9,10,4,2,1,1
5850,Player 1,Team 1,10,1,0,0,0,0
5851,Player 2,Team 2,11,2,1,1,1,1
5852,Player 3,Team 3,12,3,2,2,0,0
5853,Player 4,Team 4,13,4,3,0,1,1
5854,Player 5,Team 5,14,5,4,1,0,0
5855,Player 6,Team 1,15,6,0,2,1,1
5856,Player 7,Team 2,16,7,1,0,0,0
5857,Player 8,Team 3,17,8,2,1,1,1
5858,Player 9,Team 4,18,9,3,2,0,0
5859,Player 10,Team 5,19,10,4,0,1,1
5860,Player 1,Team 1,0,1,0,1,0,0
5861,Player 2,Team 2,1,2,1,2,1,1
5862,Player 3,Team 3,2,3,2,0,0,0
5863,Player 4,Team 4,3,4,3,1,1,1
5864,Player 5,Team 5,4,5,4,2,0,0
5865,Player 6,Team 1,5,6,0,0,1,1
5866,Player 7,Team 2,6,7,1,1,0,0
5867,Player 8,Team 3,7,8,2,2,1,1
5868,Player 9,Team 4,8,9,3,0,0,0
5869,Player 10,Team 5,9,10,4,1,1,1
5870,Player 1,Team 1,10,1,0,2,0,0
5871,Player 2,Team 2,11,2,1,0,1,1
5872,Player 3,Team 3,12,3,2,1,0,0
5873,Player 4,Team 4,13,4,3,2,1,1
5874,Player 5,Team 5,14,5,4,0,0,0
5875,Player 6,Team 1,15,6,0,1,1,1
5876,Player 7,Team 2,16,7,1,2,0,0
5877,Player 8,Team 3,17,8,2,0,1,1
5878,Player 9,Team 4,18,9,3,1,0,0
5879,Player 10,Team 5,19,10,4,2,1,1
5880,Player 1,Team 1,0,1,0,0,0,0
5881,Player 2,Team 2,1,2,1,1,1,1
5882,Player 3,Team 3,2,3,2,2,0,0
5883,Player 4,Team 4,3,4,3,0,1,1
5884,Player 5,Team 5,4,5,4,1,0,0
5885,Player 6,Team 1,5,6,0,2,1,1
5886,Player 7,Team 2,6,7,1,0,0,0
5887,Player 8,Team 3,7,8,2,1,1,1
5888,Player 9,Team 4,8,9,3,2,0,0
5889,Player 10,Team 5,9,10,4,0,1,1
5890,Player 1,Team 1,10,1,0,1,0,0
5891,Player 2,Team 2,11,2,1,2,1,1
5892,Player 3,Team 3,12,3,2,0,0,0
5893,Player 4,Team 4,13,4,3,1,1,1
5894,Player 5,Team 5,14,5,4,2,0,0
5895,Player 6,Team 1,15,6,0,0,1,1
5896,Player 7,Team 2,16,7,1,1,0,0
5897,Player 8,Team 3,17,8,2,2,1,1
5898,Player 9,Team 4,18,9,3,0,0,0
5899,Player 10,Team 5,19,10,4,1,1,1
5900,Player 1,Team 1,0,1,0,2,0,0
5901,Player 2,Team 2,1,2,1,0,1,1
5902,Player 3,Team 3,2,3,2,1,0,0
5903,Player 4,Team 4,3,4,3,2,1,1
5904,Player 5,Team 5,4,5,4,0,0,0
5905,Player 6,Team 1,5,6,0,1,1,1
5906,Player 7,Team 2,6,7,1,2,0,0
5907,Player 8,Team 3,7,8,2,0,1,1
5908,Player 9,Team 4,8,9,3,1,0,0
5909,Player 10,Team 5,9,10,4,2,1,1
5910,Player 1,Team 1,10,1,0,0,0,0
5911,Player 2,Team 2,11,2,1,1,1,1
5912,Player 3,Team 3,12,3,2,2,0,0
5913,Player 4,Team 4,13,4,3,0,1,1
5914,Player 5,Team 5,14,5,4,1,0,0
5915,Player 6,Team 1,15,6,0,2,1,1
5916,Player 7,Team 2,16,7,1,0,0,0
5917,Player 8,Team 3,17,8,2,1,1,1
5918,Player 9,Team 4,18,9,3,2,0,0
5919,Player 10,Team 5,19,10,4,0,1,1
5920,Player 1,Team 1,0,1,0,1,0,0
5921,Player 2,Team 2,1,2,1,2,1,1
5922,Player 3,Team 3,2,3,2,0,0,0
5923,Player 4,Team 4,3,4,3,1,1,1
5924,Player 5,Team 5,4,5,4,2,0,0
5925,Player 6,Team 1,5,6,0,0,1,1
5926,Player 7,Team 2,6,7,1,1,0,0
5927,Player 8,Team 3,7,8,2,2,1,1
5928,Player 9,Team 4,8,9,3,0,0,0
5929,Player 10,Team 5,9,10,4,1,1,1
5930,Player 1,Team 1,10,1,0,2,0,0
5931,Player 2,Team 2,11,2,1,0,1,1
5932,Player 3,Team 3,12,3,2,1,0,0
5933,Player 4,Team 4,13,4,3,2,1,1
5934,Player 5,Team 5,14,5,4,0,0,0
5935,Player 6,Team 1,15,6,0,1,1,1
5936,Player 7,Team 2,16,7,1,2,0,0
5937,Player 8,Team 3,17,8,2,0,1,1
5938,Player 9,Team 4,18,9,3,1,0,0
5939,Player 10,Team 5,19,10,4,2,1,1
5940,Player 1,Team 1,0,1,0,0,0,0
5941,Player 2,Team 2,1,2,1,1,1,1
5942,Player 3,Team 3,2,3,2,2,0,0
5943,Player 4,Team 4,3,4,3,0,1,1
5944,Player 5,Team 5,4,5,4,1,0,0
5945,Player 6,Team 1,5,6,0,2,1,1
5946,Player 7,Team 2,6,7,1,0,0,0
5947,Player 8,Team 3,7,8,2,1,1,1
5948,Player 9,Team 4,8,9,3,2,0,0
5949,Player 10,Team 5,9,10,4,0,1,1
5950,Player 1,Team 1,10,1,0,1,0,0
5951,Player 2,Team 2,11,2,1,2,1,1
5952,Player 3,Team 3,12,3,2,0,0,0
5953,Player 4,Team 4,13,4,3,1,1,1
5954,Player 5,Team 5,14,5,4,2,0,0
5955,Player 6,Team 1,15,6,0,0,1,1
5956,Player 7,Team 2,16,7,1,1,0,0
5957,Player 8,Team 3,17,8,2,2,1,1
5958,Player 9,Team 4,18,9,3,0,0,0
5959,Player 10,Team 5,19,10,4,1,1,1
5960,Player 1,Team 1,0,1,0,2,0,0
5961,Player 2,Team 2,1,2,1,0,1,1
5962,Player 3,Team 3,2,3,2,1,0,0
5963,Player 4,Team 4,3,4,3,2,1,1
5964,Player 5,Team 5,4,5,4,0,0,0
5965,Player 6,Team 1,5,6,0,1,1,1
5966,Player 7,Team 2,6,7,1,2,0,0
5967,Player 8,Team 3,7,8,2,0,1,1
5968,Player 9,Team 4,8,9,3,1,0,0
5969,Player 10,Team 5,9,10,4,2,1,1
5970,Player 1,Team 1,10,1,0,0,0,0
5971,Player 2,Team 2,11,2,1,1,1,1
5972,Player 3,Team 3,12,3,2,2,0,0
5973,Player 4,Team 4,13,4,3,0,1,1
5974,Player 5,Team 5,14,5,4,1,0,0
5975,Player 6,Team 1,15,6,0,2,1,1
5976,Player 7,Team 2,16,7,1,0,0,0
5977,Player 8,Team 3,17,8,2,1,1,1
5978,Player 9,Team 4,18,9,3,2,0,0
5979,Player 10,Team 5,19,10,4,0,1,1
5980,Player 1,Team 1,0,1,0,1,0,0
5981,Player 2,Team 2,1,2,1,2,1,1
5982,Player 3,Team 3,2,3,2,0,0,0
5983,Player 4,Team 4,3,4,3,1,1,1
5984,Player 5,Team 5,4,5,4,2,0,0
5985,Player 6,Team 1,5,6,0,0,1,1
5986,Player 7,Team 2,6,7,1,1,0,0
5987,Player 8,Team 3,7,8,2,2,1,1
5988,Player 9,Team 4,8,9,3,0,0,0
5989,Player 10,Team 5,9,10,4,1,1,1
5990,Player 1,Team 1,10,1,0,2,0,0
5991,Player 2,Team 2,11,2,1,0,1,1
5992,Player 3,Team 3,12,3,2,1,0,0
5993,Player 4,Team 4,13,4,3,2,1,1
5994,Player 5,Team 5,14,5,4,0,0,0
5995,Player 6,Team 1,15,6,0,1,1,1
5996,Player 7,Team 2,16,7,1,2,0,0
5997,Player 8,Team 3,17,8,2,0,1,1
5998,Player 9,Team 4,18,9,3,1,0,0
5999,Player 10,Team 5,19,10,4,2,1,1
6000,Player 1,Team 1,0,1,0,0,0,0
6001,Player 2,Team 2,1,2,1,1,1,1
6002,Player 3,Team 3,2,3,2,2,0,0
6003,Player 4,Team 4,3,4,3,0,1,1
6004,Player 5,Team 5,4,5,4,1,0,0
6005,Player 6,Team 1,5,6,0,2,1,1
6006,Player 7,Team 2,6,7,1,0,0,0
6007,Player 8,Team 3,7,8,2,1,1,1
6008,Player 9,Team 4,8,9,3,2,0,0
6009,Player 10,Team 5,9,10,4,0,1,1
6010,Player 1,Team 1,10,1,0,1,0,0
6011,Player 2,Team 2,11,2,1,2,1,1
6012,Player 3,Team 3,12,3,2,0,0,0
6013,Player 4,Team 4,13,4,3,1,1,1
6014,Player 5,Team 5,14,5,4,2,0,0
6015,Player 6,Team 1,15,6,0,0,1,1
6016,Player 7,Team 2,16,7,1,1,0,0
6017,Player 8,Team 3,17,8,2,2,1,1
6018,Player 9,Team 4,18,9,3,0,0,0
6019,Player 10,Team 5,19,10,4,1,1,1
6020,Player 1,Team 1,0,1,0,2,0,0
6021,Player 2,Team 2,1,2,1,0,1,1
6022,Player 3,Team 3,2,3,2,1,0,0
6023,Player 4,Team 4,3,4,3,2,1,1
6024,Player 5,Team 5,4,5,4,0,0,0
6025,Player 6,Team 1,5,6,0,1,1,1
6026,Player 7,Team 2,6,7,1,2,0,0
6027,Player 8,Team 3,7,8,2,0,1,1
6028,Player 9,Team 4,8,9,3,1,0,0
6029,Player 10,Team 5,9,10,4,2,1,1
6030,Player 1,Team 1,10,1,0,0,0,0
6031,Player 2,Team 2,11,2,1,1,1,1
6032,Player 3,Team 3,12,3,2,2,0,0
6033,Player 4,Team 4,13,4,3,0,1,1
6034,Player 5,Team 5,14,5,4,1,0,0
6035,Player 6,Team 1,15,6,0,2,1,1
6036,Player 7,Team 2,16,7,1,0,0,0
6037,Player 8,Team 3,17,8,2,1,1,1
6038,Player 9,Team 4,18,9,3,2,0,0
6039,Player 10,Team 5,19,10,4,0,1,1
6040,Player 1,Team 1,0,1,0,1,0,0
6041,Player 2,Team 2,1,2,1,2,1,1
6042,Player 3,Team 3,2,3,2,0,0,0
6043,Player 4,Team 4,3,4,3,1,1,1
6044,Player 5,Team 5,4,5,4,2,0,0
6045,Player 6,Team 1,5,6,0,0,1,1
6046,Player 7,Team 2,6,7,1,1,0,0
6047,Player 8,Team 3,7,8,2,2,1,1
6048,Player 9,Team 4,8,9,3,0,0,0
6049,Player 10,Team 5,9,10,4,1,1,1
6050,Player 1,Team 1,10,1,0,2,0,0
6051,Player 2,Team 2,11,2,1,0,1,1
6052,Player 3,Team 3,12,3,2,1,0,0
6053,Player 4,Team 4,13,4,3,2,1,1
6054,Player 5,Team 5,14,5,4,0,0,0
6055,Player 6,Team 1,15,6,0,1,1,1
6056,Player 7,Team 2,16,7,1,2,0,0
6057,Player 8,Team 3,17,8,2,0,1,1
6058,Player 9,Team 4,18,9,3,1,0,0
6059,Player 10,Team 5,19,10,4,2,1,1
6060,Player 1,Team 1,0,1,0,0,0,0
6061,Player 2,Team 2,1,2,1,1,1,1
6062,Player 3,Team 3,2,3,2,2,0,0
6063,Player 4,Team 4,3,4,3,0,1,1
6064,Player 5,Team 5,4,5,4,1,0,0
6065,Player 6,Team 1,5,6,0,2,1,1
6066,Player 7,Team 2,6,7,1,0,0,0
6067,Player 8,Team 3,7,8,2,1,1,1
6068,Player 9,Team 4,8,9,3,2,0,0
6069,Player 10,Team 5,9,10,4,0,1,1
6070,Player 1,Team 1,10,1,0,1,0,0
6071,Player 2,Team 2,11,2,1,2,1,1
6072,Player 3,Team 3,12,3,2,0,0,0
6073,Player 4,Team 4,13,4,3,1,1,1
6074,Player 5,Team 5,14,5,4,2,0,0
6075,Player 6,Team 1,15,6,0,0,1,1
6076,Player 7,Team 2,16,7,1,1,0,0
6077,Player 8,Team 3,17,8,2,2,1,1
6078,Player 9,Team 4,18,9,3,0,0,0
6079,Player 10,Team 5,19,10,4,1,1,1
6080,Player 1,Team 1,0,1,0,2,0,0
6081,Player 2,Team 2,1,2,1,0,1,1
6082,Player 3,Team 3,2,3,2,1,0,0
6083,Player 4,Team 4,3,4,3,2,1,1
6084,Player 5,Team 5,4,5,4,0,0,0
6085,Player 6,Team 1,5,6,0,1,1,1
6086,Player 7,Team 2,6,7,1,2,0,0
6087,Player 8,Team 3,7,8,2,0,1,1
6088,Player 9,Team 4,8,9,3,1,0,0
6089,Player 10,Team 5,9,10,4,2,1,1
6090,Player 1,Team 1,10,1,0,0,0,0
6091,Player 2,Team 2,11,2,1,1,1,1
6092,Player 3,Team 3,12,3,2,2,0,0
6093,Player 4,Team 4,13,4,3,0,1,1
6094,Player 5,Team 5,14,5,4,1,0,0
6095,Player 6,Team 1,15,6,0,2,1,1
6096,Player 7,Team 2,16,7,1,0,0,0
6097,Player 8,Team 3,17,8,2,1,1,1
6098,Player 9,Team 4,18,9,3,2,0,0
6099,Player 10,Team 5,19,10,4,0,1,1
6100,Player 1,Team 1,0,1,0,1,0,0
6101,Player 2,Team 2,1,2,1,2,1,1
6102,Player 3,Team 3,2,3,2,0,0,0
6103,Player 4,Team 4,3,4,3,1,1,1
6104,Player 5,Team 5,4,5,4,2,0,0
6105,Player 6,Team 1,5,6,0,0,1,1
6106,Player 7,Team 2,6,7,1,1,0,0
6107,Player 8,Team 3,7,8,2,2,1,1
6108,Player 9,Team 4,8,9,3,0,0,0
6109,Player 10,Team 5,9,10,4,1,1,1
6110,Player 1,Team 1,10,1,0,2,0,0
6111,Player 2,Team 2,11,2,1,0,1,1
6112,Player 3,Team 3,12,3,2,1,0,0
6113,Player 4,Team 4,13,4,3,2,1,1
6114,Player 5,Team 5,14,5,4,0,0,0
6115,Player 6,Team 1,15,6,0,1,1,1
6116,Player 7,Team 2,16,7,1,2,0,0
6117,Player 8,Team 3,17,8,2,0,1,1
6118,Player 9,Team 4,18,9,3,1,0,0
6119,Player 10,Team 5,19,10,4,2,1,1
6120,Player 1,Team 1,0,1,0,0,0,0
6121,Player 2,Team 2,1,2,1,1,1,1
6122,Player 3,Team 3,2,3,2,2,0,0
6123,Player 4,Team 4,3,4,3,0,1,1
6124,Player 5,Team 5,4,5,4,1,0,0
6125,Player 6,Team 1,5,6,0,2,1,1
6126,Player 7,Team 2,6,7,1,0,0,0
6127,Player 8,Team 3,7,8,2,1,1,1
6128,Player 9,Team 4,8,9,3,2,0,0
6129,Player 10,Team 5,9,10,4,0,1,1
6130,Player 1,Team 1,10,1,0,1,0,0
6131,Player 2,Team 2,11,2,1,2,1,1
6132,Player 3,Team 3,12,3,2,0,0,0
6133,Player 4,Team 4,13,4,3,1,1,1
6134,Player 5,Team 5,14,5,4,2,0,0
6135,Player 6,Team 1,15,6,0,0,1,1
6136,Player 7,Team 2,16,7,1,1,0,0
6137,Player 8,Team 3,17,8,2,2,1,1
6138,Player 9,Team 4,18,9,3,0,0,0
6139,Player 10,Team 5,19,10,4,1,1,1
6140,Player 1,Team 1,0,1,0,2,0,0
6141,Player 2,Team 2,1,2,1,0,1,1
6142,Player 3,Team 3,2,3,2,1,0,0
6143,Player 4,Team 4,3,4,3,2,1,1
6144,Player 5,Team 5,4,5,4,0,0,0
6145,Player 6,Team 1,5,6,0,1,1,1
6146,Player 7,Team 2,6,7,1,2,0,0
6147,Player 8,Team 3,7,8,2,0,1,1
6148,Player 9,Team 4,8,9,3,1,0,0
6149,Player 10,Team 5,9,10,4,2,1,1
6150,Player 1,Team 1,10,1,0,0,0,0
6151,Player 2,Team 2,11,2,1,1,1,1
6152,Player 3,Team 3,12,3,2,2,0,0
6153,Player 4,Team 4,13,4,3,0,1,1
6154,Player 5,Team 5,14,5,4,1,0,0
6155,Player 6,Team 1,15,6,0,2,1,1
6156,Player 7,Team 2,16,7,1,0,0,0
6157,Player 8,Team 3,17,8,2,1,1,1
6158,Player 9,Team 4,18,9,3,2,0,0
6159,Player 10,Team 5,19,10,4,0,1,1
6160,Player 1,Team 1,0,1,0,1,0,0
6161,Player 2,Team 2,1,2,1,2,1,1
6162,Player 3,Team 3,2,3,2,0,0,0
6163,Player 4,Team 4,3,4,3,1,1,1
6164,Player 5,Team 5,4,5,4,2,0,0
6165,Player 6,Team 1,5,6,0,0,1,1
6166,Player 7,Team 2,6,7,1,1,0,0
6167,Player 8,Team 3,7,8,2,2,1,1
6168,Player 9,Team 4,8,9,3,0,0,0
6169,Player 10,Team 5,9,10,4,1,1,1
6170,Player 1,Team 1,10,1,0,2,0,0
6171,Player 2,Team 2,11,2,1,0,1,1
6172,Player 3,Team 3,12,3,2,1,0,0
6173,Player 4,Team 4,13,4,3,2,1,1
6174,Player 5,Team 5,14,5,4,0,0,0
6175,Player 6,Team 1,15,6,0,1,1,1
6176,Player 7,Team 2,16,7,1,2,0,0
6177,Player 8,Team 3,17,8,2,0,1,1
6178,Player 9,Team 4,18,9,3,1,0,0
6179,Player 10,Team 5,19,10,4,2,1,1
6180,Player 1,Team 1,0,1,0,0,0,0
6181,Player 2,Team 2,1,2,1,1,1,1
6182,Player 3,Team 3,2,3,2,2,0,0
6183,Player 4,Team 4,3,4,3,0,1,1
6184,Player 5,Team 5,4,5,4,1,0,0
6185,Player 6,Team 1,5,6,0,2,1,1
6186,Player 7,Team 2,6,7,1,0,0,0
6187,Player 8,Team 3,7,8,2,1,1,1
6188,Player 9,Team 4,8,9,3,2,0,0
6189,Player 10,Team 5,9,10,4,0,1,1
6190,Player 1,Team 1,10,1,0,1,0,0
6191,Player 2,Team 2,11,2,1,2,1,1
6192,Player 3,Team 3,12,3,2,0,0,0
6193,Player 4,Team 4,13,4,3,1,1,1
6194,Player 5,Team 5,14,5,4,2,0,0
6195,Player 6,Team 1,15,6,0,0,1,1
6196,Player 7,Team 2,16,7,1,1,0,0
6197,Player 8,Team 3,17,8,2,2,1,1
6198,Player 9,Team 4,18,9,3,0,0,0
6199,Player 10,Team 5,19,10,4,1,1,1
6200,Player 1,Team 1,0,1,0,2,0,0
6201,Player 2,Team 2,1,2,1,0,1,1
6202,Player 3,Team 3,2,3,2,1,0,0
6203,Player 4,Team 4,3,4,3,2,1,1
6204,Player 5,Team 5,4,5,4,0,0,0
6205,Player 6,Team 1,5,6,0,1,1,1
6206,Player 7,Team 2,6,7,1,2,0,0
6207,Player 8,Team 3,7,8,2,0,1,1
6208,Player 9,Team 4,8,9,3,1,0,0
6209,Player 10,Team 5,9,10,4,2,1,1
6210,Player 1,Team 1,10,1,0,0,0,0
6211,Player 2,Team 2,11,2,1,1,1,1
6212,Player 3,Team 3,12,3,2,2,0,0
6213,Player 4,Team 4,13,4,3,0,1,1
6214,Player 5,Team 5,14,5,4,1,0,0
6215,Player 6,Team 1,15,6,0,2,1,1
6216,Player 7,Team 2,16,7,1,0,0,0
6217,Player 8,Team 3,17,8,2,1,1,1
6218,Player 9,Team 4,18,9,3,2,0,0
6219,Player 10,Team 5,19,10,4,0,1,1
6220,Player 1,Team 1,0,1,0,1,0,0
6221,Player 2,Team 2,1,2,1,2,1,1
6222,Player 3,Team 3,2,3,2,0,0,0
6223,Player 4,Team 4,3,4,3,1,1,1
6224,Player 5,Team 5,4,5,4,2,0,0
6225,Player 6,Team 1,5,6,0,0,1,1
6226,Player 7,Team 2,6,7,1,1,0,0
6227,Player 8,Team 3,7,8,2,2,1,1
6228,Player 9,Team 4,8,9,3,0,0,0
6229,Player 10,Team 5,9,10,4,1,1,1
6230,Player 1,Team 1,10,1,0,2,0,0
6231,Player 2,Team 2,11,2,1,0,1,1
6232,Player 3,Team 3,12,3,2,1,0,0
6233,Player 4,Team 4,13,4,3,2,1,1
6234,Player 5,Team 5,14,5,4,0,0,0
6235,Player 6,Team 1,15,6,0,1,1,1
6236,Player 7,Team 2,16,7,1,2,0,0
6237,Player 8,Team 3,17,8,2,0,1,1
6238,Player 9,Team 4,18,9,3,1,0,0
6239,Player 10,Team 5,19,10,4,2,1,1
6240,Player 1,Team 1,0,1,0,0,0,0
6241,Player 2,Team 2,1,2,1,1,1,1
6242,Player 3,Team 3,2,3,2,2,0,0
6243,Player 4,Team 4,3,4,3,0,1,1
6244,Player 5,Team 5,4,5,4,1,0,0
6245,Player 6,Team 1,5,6,0,2,1,1
6246,Player 7,Team 2,6,7,1,0,0,0
6247,Player 8,Team 3,7,8,2,1,1,1
6248,Player 9,Team 4,8,9,3,2,0,0
6249,Player 10,Team 5,9,10,4,0,1,1
6250,Player 1,Team 1,10,1,0,1,0,0
6251,Player 2,Team 2,11,2,1,2,1,1
6252,Player 3,Team 3,12,3,2,0,0,0
6253,Player 4,Team 4,13,4,3,1,1,1
6254,Player 5,Team 5,14,5,4,2,0,0
6255,Player 6,Team 1,15,6,0,0,1,1
6256,Player 7,Team 2,16,7,1,1,0,0
6257,Player 8,Team 3,17,8,2,2,1,1
6258,Player 9,Team 4,18,9,3,0,0,0
6259,Player 10,Team 5,19,10,4,1,1,1
6260,Player 1,Team 1,0,1,0,2,0,0
6261,Player 2,Team 2,1,2,1,0,1,1
6262,Player 3,Team 3,2,3,2,1,0,0
6263,Player 4,Team 4,3,4,3,2,1,1
6264,Player 5,Team 5,4,5,4,0,0,0
6265,Player 6,Team 1,5,6,0,1,1,1
6266,Player 7,Team 2,6,7,1,2,0,0
6267,Player 8,Team 3,7,8,2,0,1,1
6268,Player 9,Team 4,8,9,3,1,0,0
6269,Player 10,Team 5,9,10,4,2,1,1
6270,Player 1,Team 1,10,1,0,0,0,0
6271,Player 2,Team 2,11,2,1,1,1,1
6272,Player 3,Team 3,12,3,2,2,0,0
6273,Player 4,Team 4,13,4,3,0,1,1
6274,Player 5,Team 5,14,5,4,1,0,0
6275,Player 6,Team 1,15,6,0,2,1,1
6276,Player 7,Team 2,16,7,1,0,0,0
6277,Player 8,Team 3,17,8,2,1,1,1
6278,Player 9,Team 4,18,9,3,2,0,0
6279,Player 10,Team 5,19,10,4,0,1,1
6280,Player 1,Team 1,0,1,0,1,0,0
6281,Player 2,Team 2,1,2,1,2,1,1
6282,Player 3,Team 3,2,3,2,0,0,0
6283,Player 4,Team 4,3,4,3,1,1,1
6284,Player 5,Team 5,4,5,4,2,0,0
6285,Player 6,Team 1,5,6,0,0,1,1
6286,Player 7,Team 2,6,7,1,1,0,0
6287,Player 8,Team 3,7,8,2,2,1,1
6288,Player 9,Team 4,8,9,3,0,0,0
6289,Player 10,Team 5,9,10,4,1,1,1
6290,Player 1,Team 1,10,1,0,2,0,0
6291,Player 2,Team 2,11,2,1,0,1,1
6292,Player 3,Team 3,12,3,2,1,0,0
6293,Player 4,Team 4,13,4,3,2,1,1
6294,Player 5,Team 5,14,5,4,0,0,0
6295,Player 6,Team 1,15,6,0,1,1,1
6296,Player 7,Team 2,16,7,1,2,0,0
6297,Player 8,Team 3,17,8,2,0,1,1
6298,Player 9,Team 4,18,9,3,1,0,0
6299,Player 10,Team 5,19,10,4,2,1,1
6300,Player 1,Team 1,0,1,0,0,0,0
6301,Player 2,Team 2,1,2,1,1,1,1
6302,Player 3,Team 3,2,3,2,2,0,0
6303,Player 4,Team 4,3,4,3,0,1,1
6304,Player 5,Team 5,4,5,4,1,0,0
6305,Player 6,Team 1,5,6,0,2,1,1
6306,Player 7,Team 2,6,7,1,0,0,0
6307,Player 8,Team 3,7,8,2,1,1,1
6308,Player 9,Team 4,8,9,3,2,0,0
6309,Player 10,Team 5,9,10,4,0,1,1
6310,Player 1,Team 1,10,1,0,1,0,0
6311,Player 2,Team 2,11,2,1,2,1,1
6312,Player 3,Team 3,12,3,2,0,0,0
6313,Player 4,Team 4,13,4,3,1,1,1
6314,Player 5,Team 5,14,5,4,2,0,0
6315,Player 6,Team 1,15,6,0,0,1,1
6316,Player 7,Team 2,16,7,1,1,0,0
6317,Player 8,Team 3,17,8,2,2,1,1
6318,Player 9,Team 4,18,9,3,0,0,0
6319,Player 10,Team 5,19,10,4,1,1,1
6320,Player 1,Team 1,0,1,0,2,0,0
6321,Player 2,Team 2,1,2,1,0,1,1
6322,Player 3,Team 3,2,3,2,1,0,0
6323,Player 4,Team 4,3,4,3,2,1,1
6324,Player 5,Team 5,4,5,4,0,0,0
6325,Player 6,Team 1,5,6,0,1,1,1
6326,Player 7,Team 2,6,7,1,2,0,0
6327,Player 8,Team 3,7,8,2,0,1,1
6328,Player 9,Team 4,8,9,3,1,0,0
6329,Player 10,Team 5,9,10,4,2,1,1
6330,Player 1,Team 1,10,1,0,0,0,0
